Catalogue,Artist,Title,UKDP,Street_Date,label,UPCEAN,AlbumCLineYear,AlbumCLineInfo,AlbumPLineYear,AlbumPLineInfo,MediaType,genre,Ppoint,Notes,Artist_Sort,Active,Deleted,format,OriginalCountry,Territory,ExpiryDate,ID
KSCOPE1124,THE ANCHORESS,THE ART OF LOSING: ACOUSTIC EP,9.5,13/01/2023,Kscope,802644812410,2022,Catherine Anne Davies,2022,"Kscope, a division of Snapper Music Ltd",12``,Rock/Pop,Full Price,"<p>DE</p>
<p>RRP &pound;16.99</p>
<p>Catherine will buy @ &pound;9.00</p>",ANCHORESS,1,0,EP,GB,World,,5040
KSCOPE775,TRIFECTA,FRAGMENTS,5.95,02/12/2022,Kscope,802644777528,2021,Trifecta,2021,"Trifecta, under exclusive licence to Kscope",CD,Rock,Mid Price,<p>AT</p>,,1,0,Album,GB,World,,5039
KSCOPE774,PAUL DRAPER,SPOOKY ACTION,5.95,02/12/2022,Kscope,802644777429,2017,Snapper Music Ltd,2017,"Kscope, a division of Snapper Music Ltd",CD,Rock,Mid Price,<p>AT</p>,"DRAPER, PAUL",1,0,Album,GB,World,,5038
KSCOPE773,DANIEL TOMPKINS,CASTLES,5.95,11/11/2022,Kscope,802644777320,2019,Snapper Music Ltd,2019,"Kscope, a division of Snapper Music Ltd",CD,Rock,Mid Price,<p>DE</p>,"TOMPKINS, DANIEL",1,0,Album,GB,World,,5037
KSCOPE772,JON GOMM,THE FAINTEST IDEA,5.95,11/11/2022,Kscope,802644777221,2020,Snapper Music Ltd,2020,"Kscope, a division of Snapper Music Ltd",CD,Rock,Mid Price,<p>AT</p>,,1,0,Album,GB,World,,5036
SMABX1129FAM,CARAVAN,FAMILY TREE,0,26/08/2022,Madfish,636551812931,,,2022,,Other/T-shirt,,Full Price,,,1,0,,GB,World,,5034
SMABX1129CTB,CARAVAN,CANTERBURY MAP,0,26/08/2022,Madfish,636551812900,,,2022,,Other/T-shirt,,Full Price,,,1,0,,GB,World,,5033
VILELP1034,DARKTHRONE,ASTRAL FORTRESS (Italy Purple),12.5,28/10/2022,Peaceville,801056803412,2022,Peaceville Records Ltd,2022,Peaceville Records Ltd,LP,Metal,Full Price,<p>DE</p>,,1,0,Album,GB,World,,5032
KSCOPE771,THE PINEAPPLE THIEF,DISSOLUTION,6.65,03/11/2023,Kscope,802644777139,2018,Snapper Music Ltd,2018,"Kscope, a division of Snapper Music Ltd",CD,Rock,Mid Price,<p>DE</p>,PINEAPPLE THIEF,1,0,Album,GB,World,,5029
KSCOPE770,GAZPACHO,FIREWORKER (CD),6.65,05/09/2025,Kscope,802644777023,2020,Snapper Music Ltd,2020,"Kscope, a division of Snapper Music Ltd",CD,Rock,Mid Price,<p>AT</p>,GAZPACHO,1,0,Album,AT,World,,5026
KSCOPE769,GAZPACHO,MOLOK,6.65,04/11/2022,Kscope,802644776927,2015,Snapper Music Ltd,2015,"Kscope, a division of Snapper Music Ltd",CD,Rock,Mid Price,<p>AT</p>,GAZPACHO,1,0,Album,GB,World,,5025
KSCOPE590,ANATHEMA,UNIVERSAL,8.84,25/11/2022,Kscope,802644859071,2013,Anathema,2022,Anathema under exclusive licence to Snapper Music Ltd,CD+Blu-ray,Rock,Full Price,"<p>DE</p>
<p>FSK 0</p>
<p>DISC 1: CD</p>
<p>DISC 2: BD&nbsp;</p>",ANATHEMA,1,0,Album,GB,World,,5024
SMACD1196,NIRVANA,SECRETS,6.65,25/11/2022,Madfish,636551719629,2022,Snapper Music Ltd,2022,Nirvana under licence to Snapper Music,CD,Rock,Mid Price,<p>AT</p>,,1,0,Album,GB,World,,5023
KSCOPE2349,O.R.K.,DON`T CALL ME A JOKE,0,09/09/2022,Kscope,802644834962,2022,O.R.k.,2022,O.R.k. under exclusive licence to Kscope,Digital,Rock,Digital,<p>SINGLE #2</p>,,1,0,Single,GB,World,,5021
KSCOPE372D,GAVIN HARRISON & 05RIC,CIRCLES,0,15/04/2016,Kscope,802644437262,2016,Gavin Harrison,2010,Gavin Harrison under exclusive licence to Kscope,Digital,Rock,Digital,,"HARRISON, GAVIN",1,0,,GB,World,,5020
VILELP1022,MORK,DYPET (Silver Vinyl),13.5,24/03/2023,Peaceville,801056802217,2023,Peaceville Records Ltd,2023,Peaceville Records Ltd,LP,Metal,Full Price,"<p>DE</p>
<p>28th&nbsp;April&nbsp;in France</p>",,1,0,Album,GB,World,,5019
CDVILED952,DARKTHRONE,A BLAZE IN THE NORTHERN SKY,5.95,01/04/2003,Peaceville,801056795229,2003,Peaceville Records Ltd,1992,Peaceville Records Ltd,CD,Metal,Mid Price,<p>Originally set up as 2022 remaster new version.&nbsp; Not released.&nbsp; CDVILED28 amended to use new master.</p>,DARKTHRONE,1,0,Album,GB,World,,5018
DIGIVILE008,AUTOPSY,AFTER THE CUTTING,0,04/12/2015,Peaceville,801056400864,2015,Peaceville Records Ltd,2015,Peaceville Records Ltd,Digital,Metal,Digital,<p>EDITED VERSION FOR DIGITAL</p>,AUTOPSY,1,0,Compilation,GB,World,,5017
