Catalogue,Artist,Title,format,"No of Items","Slip case",Sticker,Package,Booklet,"Vinyl Weight","Vinyl RPMs","Vinyl Colour",mp3,Notes,Manufacturer,"Sticker Manufacturer",ID
CDVILED1253,ANATHEMA,"CRESTFALLEN (CD)",CD,1,0,0,Jewel,4pp,,,,0,,VDC,,3602
CDVILED1255,BEHEMOTH,"ZOS KIA CULTUS (CD)",CD,1,0,0,Jewel,16pp,,,,0,,VDC,,3603
CDVILED1252,"CARPATHIAN FULL MOON","SERENADES IN BLOOD MINOR (CD)",CD,1,0,0,Jewel,8pp,,,,0,,VDC,,3604
CDVILED1254,ANATHEMA,"PENTECOST III (CD)",CD,1,0,0,Jewel,8pp,,,,0,,VDC,,3605
CDVILED370,"AURA NOIR","DEEP TRACTS OF HELL",CD,1,0,0,Jewel,12pp,,,,0,,OPTIMAL,,3606
CDVILED1233,"PARADISE LOST","LOST PARADISE (35TH ANNIVERSARY CD)",CD,1,0,0,Jewel,8pp,,,,0,,VDC,,3608
VILELP1234,PENTAGRAM,"RELENTLESS (40TH ANNIVERSARY LP)",LP,1,0,0,Single,,140,33,Marble,0,"Pear Arctic + Black",OPTIMAL,,3609
KSCOPE1265,TESSERACT,"POLARIS (10TH ANNIVERSARY LP)",LP,1,0,0,Single,,180,33,Clear,0,"Half-Speed Crystal Clear",OPTIMAL,,3610
CDVILED1235,"MY DYING BRIDE","THE ANGEL AND THE DARK RIVER (CD)",CD,1,0,0,Digipack4,8pp,,,,0,,VDC,,3611
KSCOPE3037,GAZPACHO,"MARCH OF GHOSTS (CD)",CD,1,0,0,Digipack4,4pp,,,,0,,VDC,,3612
VILELP1258,DODHEIMSGARD,"666 INTERNATIONAL (LP)",LP,1,0,0,Single,,140,33,Black,0,,TAKT,,3613
CDVILED1257X,ANATHEMA,"SERENADES (2CD)",2CD,2,0,0,Brilliant,8pp,,,,0,,VDC,,3614
CDVILED1259,BLOODBATH,"UNBLESSING THE PURITY (CD)",CD,1,0,0,Jewel,8pp,,,,0,,VDC,,3615
VILELP1254,ANATHEMA,"PENTECOST III (30TH ANNIVERSARY LP)",LP,1,0,0,Single,,140,33,Marble,0,"Gold + Red",OPTIMAL,,3616
VILELP1257,ANATHEMA,"SERENADES (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3617
VILELP1253,ANATHEMA,"CRESTFALLEN (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3618
KSCOPE3039,IHLO,"LEGACY (CD)",CD,1,0,0,Digipack4,12pp,,,,0,,SP,,3619
KSCOPE1276,"OZRIC TENTACLES","CURIOUS CORN (2020 ED WYNNE REMASTER LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3620
KSCOPE3040,"ENVY OF NONE","THAT WAS THEN, THIS IS NOW (CD)",CD,1,0,0,Digipack4,,,,,0,,,,3621
KSCOPE1274,IHLO,"LEGACY (2LP)",2LP,2,0,0,Single,,140,33,Black,0,,TAKT,,3622
KSCOPE1275,IHLO,"LEGACY (DARK GREEN 2LP)",2LP,2,0,0,Single,,140,33,"Dark Green",0,,TAKT,,3623
SMALP1321,"LAURA NYRO","LIVE IN SAN FRANCISCO, 28TH APRIL 1994 (CLEAR 2LP)",2LP,2,0,0,Single,,140,33,Clear,0,,TAKT,,3624
SMABX1290,NIRVANA,"THE SHOW MUST GO ON: THE COMPLETE NIRVANA COLLECTION (BOXSET)",MixBoxSet,12,0,0,BoxSet,,,,,0,"Lift-off Lid Box, 84pp Hardback Book",TAKT,,3625
KSCOPE588,"TANGERINE DREAM","FROM VIRGIN TO QUANTUM YEARS: COVENTRY CATHEDRAL 22 (2CD)",2CD,2,0,0,Digipack6,8pp,,,,0,,SP,,3626
VILELP1260,KATATONIA,"TONIGHT`S DECISION (LP)",LP,1,0,0,Single,,140,33,Black,0,Half-Speed,OPTIMAL,,3627
KSCOPE1277,"THE PINEAPPLE THIEF","10 STORIES DOWN (20TH ANNIVERSARY LP)",LP,1,0,0,Single,,140,33,Marble,0,"Apricot + Black",OPTIMAL,,3628
SMABX1307,"JEFF WAYNE","JEFF WAYNE`S MUSICAL VERSION OF THE WAR OF THE WORLDS - THE ULTIMATE COLLECTORS` EDITION (BOX SET)",MixBoxSet,20,0,0,BoxSet,,140,33,,0,"16 CD + 2 BD + 2x Coloured 2LP, 3 books, Map, 2 Art Prints, Certificate",CSV,,3629
KSCOPE1278,OCEANSIZE,"SELF PRESERVED WHILE THE BODIES FLOAT UP (15TH ANNIVERSARY 3LP)",3LP,3,0,0,Gatefold,,140,33,Black,0,,TAKT,,3630
VILELP1276,RUiM,"BLACK ROYAL SPIRITISM - I.O SINO DA IGREJA (TRANSPARENT RED LP)",LP,1,0,0,Single,,140,,Red,0,,OPTIMAL,,3631
KSCOPE3041,TRIFECTA,"FRAGMENTS + THE NEW NORMAL (2CD)",2CD,2,0,0,Other,,,,,0,,SP,,3632
CDVILEF1263,"SCORPION MILK","SLIME OF THE TIMES (CD)",CD,1,0,0,Jewel,12pp,,,,0,,VDC,,3633
CDVILED1268,KATATONIA,"SOUNDS OF DECAY (CD)",CD,1,0,0,Digipack4,0pp,,,,0,,VDC,,3634
CDVILED1267,KATATONIA,"BRAVE MURDER DAY (CD)",CD,1,0,0,Jewel,8pp,,,,0,,VDC,,3635
KSCOPE3038,NOSOUND,"TO THE CORE (CD)",CD,1,0,0,Digipack4,12pp,,,,0,,VDC,,3636
CDVILED1271,DOOM,"TOTAL DOOM (CD)",CD,1,0,0,Jewel,4pp,,,,0,,VDC,,3637
CDVILED1272,TAAKE,"OVER BJOERGVIN GRAATER HIMMERIK (CD)",CD,1,0,0,Jewel,4pp,,,,0,,SP,,3638
CDVILED1273,BLOODBATH,"GRAND MORBID FUNERAL (CD)",CD,1,0,0,Jewel,16pp,,,,0,,VDC,,3640
CDVILED1274,AUTOPSY,"THE HEADLESS RITUAL (CD)",CD,1,0,0,Jewel,16pp,,,,0,,VDC,,3641
CDVILED1275,AKERCOCKE,"THE GOAT OF MENDES (CD)",CD,1,0,0,Jewel,16pp,,,,0,,SP,,3642
CDVILED1277,DODHEIMSGARD,"MONUMENTAL POSSESSION (CD)",CD,1,0,0,Jewel,8pp,,,,0,,SP,,3643
VILELP1278,"SCORPION MILK","SLIME OF THE TIMES (TRANSPARENT RED LP)",LP,1,0,0,Single,,140,33,Red,0,,OPTIMAL,,3644
VILELP1263,"SCORPION MILK","SLIME OF THE TIMES (LP)",LP,1,0,0,Single,,140,33,Black,0,,OPTIMAL,,3645
KSCOPE598,"THE PINEAPPLE THIEF","RETRACING OUR STEPS (EARBOOK)",MixBoxSet,8,0,0,"Ear book",,,,,0,"7CD+BD in 76pp Hardback Book - Initial order: 3,000 units",OPTIMAL,,3646
CDVILED1280,AXEGRINDER,"THE RISE OF THE SERPENT MEN (CD)",CD,1,0,0,Jewel,,,,,0,,VDC,,3647
CDVILED1282,"ELECTRO HIPPIES","THE ONLY GOOD PUNK IS A DEAD ONE (CD)",CD,1,0,0,Jewel,4pp,,,,0,,VDC,,3649
CDVILED1283,"EXTRA HOT SAUCE","TACO OF DEATH (CD)",CD,1,0,0,Jewel,4pp,,,,0,,VDC,,3650
CDVILED1284,"DEVIATED INSTINCT","ROCK `N` ROLL CONFORMITY (CD)",CD,1,0,0,Jewel,8pp,,,,0,,VDC,,3653
