Catalogue,Artist,Title,format,"No of Items","Slip case",Sticker,Package,Booklet,"Vinyl Weight","Vinyl RPMs","Vinyl Colour",mp3,Notes,Manufacturer,"Sticker Manufacturer",ID
CDVILE118,"THE GREAT DECEIVER","A VENOM WELL DESIGNED",CD,0,0,0,,,,,,0,,,,1
CDVILEB129,KATATONIA,"THE BLACK SESSIONS",2CD+DVD,0,0,0,,,,,,0,,,,2
CDVILEB130,"MY DYING BRIDE","ANTI-DILUVIAN CHRONICLES",3CD,0,0,0,,,,,,0,,,,3
CDVILEB243,DARKTHRONE,"FROSTLAND TAPES",3CD,0,0,0,,,,,,0,,,,4
CDVILEB304,OPETH,"THE ROUNDHOUSE TAPES",2CD+DVD,0,0,1,,,,,,0,,CSV,"NULEAF (stickers)",5
CDVILED128,KATATONIA,"THE GREAT COLD DISTANCE",CD,1,0,1,"Super jewel",16pp,,,,0,,SP,"ANGLIA (stickers)",6
CDVILED150,"MY DYING BRIDE","A LINE OF DEATHLESS KINGS",CD,0,0,0,,,,,,0,,,,7
CDVILED226,OPHTHALAMIA,"VIA DOLOROSA",CD,1,0,1,"Super jewel",,,,,0,,SP,,8
CDVILED244X,"PARADISE LOST",GOTHIC,CD+DVD,1,0,1,"Super jewel",8pp,,,,0,"very expensive stickers 2000 at 20p",OPTIMAL,OPTIMAL,9
CDVILED251,"MADDER MORTEM",DEADLANDS,CD,1,0,1,"Super jewel",24pp,,,,0,,SP,"ANGLIA (stickers)",10
CDVILED257,OPETH,"STILL LIFE (JEWEL CASE)",CD,1,0,1,Jewel,12pp,,,,0,,OPTIMAL,,11
CDVILED259X,"AT THE GATES","WITH FEAR I KISS THE BURNING DARKNESS / GRONINGEN 1993",CD+DVD,2,0,1,"Super jewel",16pp,,,,0,,OPTIMAL,"ANGLIA (stickers)",12
CDVILED260X,"MY DYING BRIDE","THE ANGEL AND THE DARK RIVER / FOR DARKEST EYES",CD+DVD,2,0,1,"Super jewel",12pp,,,,0,,OPTIMAL,"ANGLIA (stickers)",13
CDVILED262,KATATONIA,"LIVE CONSTERNATION",CD+DVD,0,0,0,,,,,,0,,,,14
CDVILED264X,KATATONIA,"THE GREAT COLD DISTANCE",CD+DVD,2,0,1,"Super jewel",16pp,,,,0,,SP,SP,15
CDVILED265,OPETH,"THE ROUNDHOUSE TAPES",2CD,0,0,0,,,,,,0,,,,16
CDVILED285,DARKTHRONE,"DARK THRONES & BLACK FLAGS",CD,0,0,0,,,,,,0,,,,17
CDVILED288,NOVEMBRE,"THE BLUE",CD,1,0,0,Jewel,16pp,,,,0,,SP,,18
CDVILED289,"MY DYING BRIDE","A LINE OF DEATHLESS KINGS",CD,1,0,0,Jewel,16pp,,,,0,,OPTIMAL,,19
CDVILED293X,"NAPALM DEATH","PUNISHMENT IN CAPITALS",CD+DVD,0,0,0,,,,,,0,,VDC,,20
CDVILED297X,AUTOPSY,"DARK CRUSADES",CD+DVD,0,0,0,,,,,,0,,VDC,,21
CDVILED319X,BEHEMOTH,DEMIGOD,CD+DVD,1,0,0,,,,,,0,,TAKT,,22
CDVILED330X,CANDLEMASS,"EPICUS DOOMICUS METALLICUS - 25TH ANNIVERSARY",2CD,2,0,1,"Media book",,,,,0,,TAKT,,23
CDVILED341X,DARKTHRONE,"FROSTLAND TAPES",2CD,2,0,1,Jewel,16pp,,,,0,,SP,SP,24
CDVILED349,"BARREN EARTH","THE CURSE OF THE RED RIVER",CD,0,0,0,,,,,,0,,,,25
CDVILED95,AKERCOCKE,"THE GOAT OF MENDES",CD,1,0,0,Digipack6,16pp,,,,0,,SP,,26
CDVILEF168X,DARKTHRONE,"F.O.A.D. (SPECIAL EDITION)",CD,1,0,1,Clambox,,,,,0,"Poster + Postcards",,,27
CDVILEF173,"AURA NOIR","HADES RISE",CD,0,0,0,,,,,,0,,VDC,,28
CDVILEF235,"PORCUPINE TREE","NIL RECURRING",CD,0,0,0,,,,,,0,,SP,,29
CDVILEF242,BLOODBATH,"THE FATHOMLESS MASTERY",CD,1,0,1,"Super jewel",16pp,,,,0,"5 colour label",SP,,30
CDVILEF245X,"MY DYING BRIDE","FOR LIES I SIRE (SPECIAL `GUITAR PACK` EDITION)",CD,0,0,0,,,,,,0,,OPTIMAL,,31
CDVILEF256,ANATHEMA,"THE SILENT ENIGMA",CD+DVD,2,0,1,"Super jewel",12pp,,,,0,,OPTIMAL,,32
CDVILEF271X,KATATONIA,"NIGHT IS THE NEW DAY (SPECIAL EDITION)",CD,1,0,1,"Media book",20pp,,,,0,,"CHINA TRADING","CHINA TRADING",33
CDVILEF276X,DARKTHRONE,"CIRCLE THE WAGONS ( SPECIAL EDITION )",CD,0,0,1,,,,,,0,,CSV,"ANGLIA (stickers)",34
CDVILEF317,AUTOPSY,"MACABRE ETERNAL ( LIMITED EDITION MEDIA BOOK )",CD,1,0,1,"Media book",,,,,0,,TAKT,,35
CDVILEF324,"MY DYING BRIDE",EVINTA,2CD,2,1,1,Jewel,16pp,,,,0,,TAKT,,36
DVDVILE10,CANDLEMASS,"20 YEAR ANNIVERSARY PARTY",DVD,0,0,0,,,,,,0,,,,37
DVDVILE11,OPETH,"THE ROUNDHOUSE TAPES",DVD,1,0,1,,8pp,,,,0,"hideously expensive stickers",OPTIMAL,OPTIMAL,38
DVDVILE12,GALLHAMMER,"RUIN OF A CHURCH",DVD,0,0,0,,,,,,0,,,,39
DVDVILE13,BLOODBATH,"BLOODBATH OVER BLOODSTOCK",DVD,0,0,1,,16pp,,,,0,,TAKT,,40
DVDVILE6,"MY DYING BRIDE",SINAMORATA,DVD,0,0,0,,,,,,0,,VDC,,41
DVDVILE7,"NOCTURNO CULTO","THE MISANTHROPE",CD+DVD,0,0,0,,,,,,0,,,,42
DVDVILE8,"CRADLE OF FILTH","HEAVY LEFT HANDED AND CANDID",DVD,0,0,0,,,,,,0,,,,43
EBVILE001,"MY DYING BRIDE","EVINTA (3 DISC SET)",3CD,3,0,0,,,,,,0,,OPTIMAL,,44
EBVILE002,"CRADLE OF FILTH","CRADLE EARBOOK 3XCD",2CD+DVD,0,0,0,,,,,,0,,,,45
EBVILE002-L,"CRADLE OF FILTH","CRADLE BOXSET LARGE",2CD+DVD,0,0,0,,,,,,0,,,,46
EBVILE002-M,"CRADLE OF FILTH","CRADLE BOXSET MEDIUM",2CD+DVD,0,0,0,,,,,,0,,,,47
EBVILE002-S,"CRADLE OF FILTH","CRADLE BOXSET SMALL",2CD+DVD,0,0,0,,,,,,0,,,,48
EBVILE002-XL,"CRADLE OF FILTH","CRADLE BOXSET XL",2CD+DVD,0,0,0,,,,,,0,,,,49
KSCOPE102,"PORCUPINE TREE","LIGHTBULB SUN",CD+DVD,2,0,1,"Media book",20pp,,,,0,,"CHINA TRADING","CHINA TRADING",50
KSCOPE111X,NO-MAN,FLOWERMOUTH,CD,1,0,0,"Super jewel",,,,,0,,SP,,51
KSCOPE113,"STEVEN WILSON","INSURGENTES ( LIMITED EDITION )",CD+DVD,0,0,0,,,,,,0,,OPTIMAL,,52
KSCOPE128,"PORCUPINE TREE","STUPID DREAM ( 2 DISC SET )",CD+DVD,2,0,1,"Media book",16pp,,,,0,,"CHINA TRADING","CHINA TRADING",53
KSCOPE129M,NO-MAN,SPEAK,CD,1,0,1,"Super jewel",8pp,,,,0,,SP,,54
KSCOPE134,"PORCUPINE TREE",RECORDINGS,CD,1,0,1,"Media book",,,,,0,,TAKT,,55
KSCOPE149,NO-MAN,"WILD OPERA",2CD,2,0,0,"Media book",,,,,0,,TAKT,,56
KSCOPE153,"THE PINEAPPLE THIEF","SOMEONE HERE IS MISSING (SPECIAL)",CD,1,0,0,"Media book",,,,,0,,TAKT,,57
KSCOPE154,ANATHEMA,"WE`RE HERE BECAUSE WE`RE HERE",CD+DVD,0,0,0,,,,,,0,,TAKT,,58
KSCOPE167,BLACKFIELD,"WELCOME TO MY DNA (SPECIAL)",CD,1,0,1,"Media book",,,,,0,,TAKT,,59
KSCOPE169,ULVER,"WARS OF THE ROSES ( LTD EDITION MEDIA BOOK )",CD,1,0,1,"Media book",,,,,0,,TAKT,,60
KSCOPE176,"STEVEN WILSON","GRACE FOR DROWNING ( 2 CD MEDIA BOOK )",2CD,0,0,0,,,,,,0,,TAKT,,61
KSCOPE501X,"PORCUPINE TREE","ARRIVING SOMEWHERE ( 2 DVD SET )",2DVD,1,0,1,"Super jewel",4pp,,,,0,,OPTIMAL,,62
KSCOPE505,NO-MAN,"MIXTAPED ( 2 DVD SET )",2DVD,1,0,1,"Super jewel",4pp,,,,0,,OPTIMAL,"ANGLIA (stickers)",63
KSCOPE506,"PORCUPINE TREE","ANESTHETIZE ( BLU-RAY & DVD SET )","Blu-ray + DVD",0,0,0,,,,,,0,,TAKT,,64
KSCOPE507,"PORCUPINE TREE",ANESTHETIZE,DVD,0,0,0,,,,,,0,,VDC,,65
KSCOPE508,"STEVEN WILSON","INSURGENTES - MOVIE ( 2 DVD SET )",2DVD,2,0,1,,Other,,,,0,,TAKT,,66
KSCOPE510,"STEVEN WILSON","GRACE FOR DROWNING (DELUXE)",CDBox,5,0,0,,,,,,0,"3 CDs 1 Bluray",CSV,,67
KSCOPE511,"STEVEN WILSON","GRACE FOR DROWNING ( BLU-RAY )",Blu-ray,0,0,1,,16pp,,,,0,,CSV,"ANGLIA (stickers)",68
KSCOPE801,"PORCUPINE TREE","ON THE SUNDAY OF LIFE",2LP,0,0,0,,,,,,0,,,,69
KSCOPE802,"PORCUPINE TREE","UP THE DOWNSTAIR",2LP,0,0,0,,,,,,0,,CSV,,70
KSCOPE805,"PORCUPINE TREE",SIGNIFY,2LP,2,0,0,Gatefold,,,,,0,,CSV,,72
KSCOPE808,"STEVEN WILSON","INSURGENTES VINYL",2LP,0,0,0,,,,,,0,,,,73
KSCOPE809,"STEVEN WILSON","NSRGNTS RMX",LP,0,0,0,,,,,,0,,,,74
KSCOPE812,ANATHEMA,"WE`RE HERE BECAUSE WE`RE HERE",2LP,2,0,0,Gatefold,,,,,0,,OPTIMAL,,75
KSCOPE813,"PORCUPINE TREE",RECORDINGS,2LP,2,0,0,Gatefold,,,,,0,,CSV,,76
KSCOPE814,"LUNATIC SOUL","LUNATIC SOUL II",2LP,2,0,0,Gatefold,,,,,0,,OPTIMAL,,77
KSCOPE815,BLACKFIELD,BLACKFIELD,2LP,2,0,0,Gatefold,,,,,0,,CSV,,78
KSCOPE817,BLACKFIELD,"WELCOME TO MY DNA",LP,1,0,1,Single,,,,,0,"previously was a gatefold",CSV,,79
KSCOPE818,"STEVEN WILSON","GRACE FOR DROWNING",2LP,2,0,0,Gatefold,,,,,0,,CSV,,80
KSCOPE819,ULVER,"WARS OF THE ROSES",LP,1,0,0,Gatefold,,,,,0,,CSV,,81
KSCOPE820,ANATHEMA,"FALLING DEEPER",LP,1,0,0,,,,,,0,,OPTIMAL,,82
KSCOPE821,"LUNATIC SOUL",IMPRESSIONS,LP,1,0,0,,,,,,0,,OPTIMAL,,83
KSCOPEVOL1,KSCOPE,"VOLUME 1",CD,0,0,0,,,,,,0,,,,84
LOTSCOPE001,"STEVEN WILSON",OCEANSIZE,CD,0,0,0,,,,,,0,,OPTIMAL,,85
MDQCD001,"THE MILLION DOLLAR QUARTET","MILLION DOLLAR QUARTET",CD,0,0,0,,,,,,0,,VDC,,86
SBLUECD041,"VARIOUS BLUES","THE EARLY BLUES ROOTS OF LED ZEPPELIN (JEWELCASE)",CD,1,0,0,Jewel,12pp,,,,0,,,,87
SBLUECD054,"PETER GREEN WITH NIGEL WATSON","HOT FOOT POWDER",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,88
SBLUECD075,"VARIOUS BLUES","THE ROOTS OF AMY WINEHOUSE",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,89
SBLUECD076,"VARIOUS BLUES","THE ROOTS OF CAPTAIN BEEFHEART",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,90
SBLUECD077,"VARIOUS BLUES","THE ROOTS OF ELVIS COSTELLO",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,91
SBLUECD078,"VARIOUS BLUES","THE ROOTS OF KINGS OF LEON",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,92
SBLUECD079,"VARIOUS BLUES","THE ROOTS OF NICK DRAKE & SANDY DENNY",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,93
SBLUECD080,"VARIOUS BLUES","THE ROOTS OF PAUL WELLER",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,94
SBLUECD081,"VARIOUS BLUES","THE ROOTS OF FRANK ZAPPA",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,95
SBLUECD082,"VARIOUS BLUES","THE ROOTS OF AC / DC",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,96
SBLUECD083,"B B KING","BB BOOGIE",CD,1,0,0,Digipack4,12pp,,,,0,,OPTIMAL,,97
SBLUECD501X,"PETER GREEN","ME & THE DEVIL",3CD,3,0,0,Clambox,24pp,,,,0,,"CHINA TRADING",,98
SBLUECD703X,"DJANGO REINHARDT","RHYTHM & SWING ( 7 CD BOX SET )",7CD,7,0,1,Clambox,,,,,0,,"CHINA TRADING","CHINA TRADING",99
SBLUECD705X,"VARIOUS ARTISTS","THE CARIBOU & DOWNBEAT 78`S STORY",2CD,2,0,0,Clambox,24pp,,,,0,,"CHINA TRADING",,100
SDPCD113,"THE PRETTY THINGS","SAVAGE EYE",CD,1,0,0,Digipack4,16pp,,,,0,"Gold Limited Edition",,,101
SDPCD116,"THE PRETTY THINGS","CROSS TALK",CD,1,0,0,Digipack4,20pp,,,,0,"Gold Limited Edition",,,102
SDPCD126,"STEVE HACKETT","GENESIS REVISITED",CD,1,0,0,"Super jewel",16pp,,,,0,,SP,,103
SDPCD161,"STEVE EARLE / TOWNES VAN ZANDT / GUY CLARK","LIVE AT THE BLUEBIRD",CD,1,0,0,"Super jewel",4pp,,,,0,,SP,,104
SDPCD184,MARILLION,"TALES FROM THE ENGINE ROOM",CD,0,0,0,,,,,,0,,,,105
SDPCD185,PENDRAGON,"THE MASQUERADE OVERTURE",CD,1,0,0,"Super jewel",12pp,,,,0,,SP,,106
SDPCD186,PENDRAGON,"THE WORLD",CD,1,0,0,"Super jewel",12pp,,,,0,,SP,,107
SDPCD206,"CARL PERKINS & FRIENDS","BLUE SUEDE SHOES",CD,1,0,0,Digipack6,8pp,,,,0,,SP,,108
SDVD001,"JAZZ ON A SUMMER`S DAY","JAZZ ON A SUMMER`S DAY",CD+DVD,1,0,0,Amaray,4pp,,,,0,,VDC,VDC,109
SDVD506,"HOWARD MARKS","MR NICE (HOWARD`S CUT)",DVD,0,0,0,,,,,,0,,,,110
SDVD513,"TANGERINE DREAM","INFERNO MOVIE ( 1 DVD SET )",DVD,1,0,0,,4pp,,,,0,,VDC,,111
SDVD514,"CARL PERKINS & FRIENDS","BLUE SUEDE SHOES",DVD,1,0,0,,4pp,,,,0,"clear case",SP,,112
SDVD518,"ELVIS PRESLEY","FROM THE BEGINNING TO THE END",DVD,0,0,0,,,,,,0,,,,113
SDVD540,"PINK FLOYD","LONDON 1966/67",DVD,0,0,0,,,,,,0,,,,114
SDVD541,W.A.S.P.,"THE STING",DVD,1,0,0,Amaray,,,,,0,amaray,SP,,115
SDVD542,"MARTIN SCORSESE","FEEL LIKE GOING HOME",DVD,0,0,0,,,,,,0,,,,116
SDVD543,"WIM WENDERS","SOUL OF A MAN",DVD,0,0,0,,,,,,0,,,,117
SDVD544,"B B KING & OTHERS","THE ROAD TO MEMPHIS - A FILM BY RICHARD PEARCE & ROBERT KENNER",DVD,1,0,1,Amaray,4pp,,,,0,,OPTIMAL,OPTIMAL,118
SDVD545,"CHARLES BURNETT","WARMING BY THE DEVILS FIRE",DVD,0,0,0,,,,,,0,,,,119
SDVD546,"MARC LEVIN","GODFATHERS & SONS",DVD,0,0,0,,,,,,0,,,,120
SDVD547,"MIKE FIGGIS","RED WHITE & BLUES",DVD,0,0,0,,,,,,0,,,,121
SDVD548,"CLINT EASTWOOD","PIANO BLUES",DVD,0,0,0,,,,,,0,,,,122
SDVD551,"WOODY GUTHRIE","THIS MACHINE KILLS FASCISTS",DVD,0,0,0,,,,,,0,,,,123
SMACD924X,"PINK FLOYD","LONDON 1966/67 ( CD )",CD,1,0,0,Digipack6,6pp,,,,0,,OPTIMAL,,124
SMACD955X,"OZRIC TENTACLES","JURASSIC SHIFT",CD+DVD,1,0,0,Digibook,,,,,0,,OPTIMAL,,125
SMACD963,"PRETTY THINGS","S.F. SORROW / LIVE AT ABBEY ROAD",CD+DVD,2,0,1,,,,,,0,"Limited edition of 5000","CHINA TRADING",,126
SMACD970,PENDRAGON,"PASSION - SPECIAL EDITION",CD+DVD,0,0,0,,,,,,0,,TAKT,,128
SMACD972,MARILLION,MARBLES,2CD,2,0,1,"Media book",,,,,0,,TAKT,,129
SMACD973,MARILLION,"SOMEWHERE ELSE",CD,1,0,1,"Media book",,,,,0,,TAKT,,130
SMACD974,W.A.S.P.,"THE HEADLESS CHILDREN",2CD,2,0,1,"Media book",,,,,0,,TAKT,,131
SMACD975,W.A.S.P.,"INSIDE THE ELECTRIC CIRCUS / LIVE IN THE RAW",2CD,2,0,1,"Media book",,,,,0,,TAKT,,132
SMACD976,MARILLION,MARILLION.COM,CD,1,0,1,"Media book",,,,,0,,TAKT,,133
SMADVD049,"PINK FLOYD","LONDON 1966/67",DVD,1,0,0,,6pp,,,,0,Digi,CSV,,134
SMADVD056,UFO,"TOO HOT TO HANDLE - DVD",DVD,1,0,0,,,,,,0,,OPTIMAL,,135
SMALP968,"PINK FLOYD","LONDON 1966/1967",LP,1,0,0,Gatefold,,,,,0,,OPTIMAL,,136
SMALP970,PENDRAGON,PASSION,2LP,2,0,0,Gatefold,,,,,0,,OPTIMAL,,137
SMALP972,MARILLION,MARBLES,2LP,2,0,0,Gatefold,,,,,0,,OPTIMAL,,138
SMALP973,MARILLION,"SOMEWHERE ELSE",2LP,1,0,0,,,,,,0,,OPTIMAL,,139
SMDCD102X,"JIM CROCE","THE DEFINITIVE COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,140
SMDCD103X,"VAN MORRISON","NEW YORK SESSIONS",2CD,2,0,0,Jewel,8pp,,,,0,,TAKT,,141
SMDCD105X,"CURTIS MAYFIELD","THE ULTIMATE COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,TAKT,,142
SMDCD108X,"BOB MARLEY","BUSTIN` OUT OF TRENCHTOWN",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,143
SMDCD140,"BAD MANNERS","VIVA LA SKA REVOLUTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,144
SMDCD145,W.A.S.P.,"THE CRIMSON IDOL ( 2 CD SET - JEWEL CASE )",2CD,2,0,0,Jewel,12pp,,,,0,,VDC,,145
SMDCD146,"SPEAR OF DESTINY","THE BEST OF S.O.D.",2CD,2,0,0,Jewel,8pp,,,,0,,,,146
SMDCD162,"DINAH WASHINGTON","SMOKE GETS IN YOUR EYES",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,147
SMDCD176,"CARL PERKINS","ESSENTIAL SUN COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,148
SMDCD178,"THE VENTURES","STARS ON GUITARS",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,149
SMDCD180,"JERRY LEE LEWIS","ESSENTIAL SUN COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,150
SMDCD181,"ROY ORBISON","ESSENTIAL SUN COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,,,151
SMDCD183,"SMALL FACES","THE DEFINITIVE COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,152
SMDCD184,"THE YARDBIRDS","THE ULTIMATE COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,153
SMDCD185,"JOHNNY WINTER","TEXAS BLUES",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,154
SMDCD187,"JOHN LEE HOOKER","THIS IS HIP - BEST OF",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,155
SMDCD189,GONG,"OTHER SIDE OF THE SKY",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,156
SMDCD190,"13TH FLOOR ELEVATORS","HIS EYE IS ON THE PYRAMID",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,157
SMDCD197,"DEL SHANNON","THE DEFINITIVE COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,158
SMDCD203,"THE NICE","THE IMMEDIATE COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,,,159
SMDCD212,"HUMBLE PIE","NATURAL BORN BUGIE",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,160
SMDCD213,"JOHNNY CASH","ESSENTIAL SUN COLLECTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,161
SMDCD225,"CELIA CRUZ","CUBAN QUEEN",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,162
SMDCD231,"ELMORE JAMES","ROLLIN` AND TUMBLIN`",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,163
SMDCD232,"JIMMY REED","BIG BOSS MAN",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,164
SMDCD233,"JOHN MAYALL","BLUES POWER",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,165
SMDCD274,"FLEETWOOD MAC","BOSTON BLUES",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,166
SMDCD278,"NINA SIMONE",MISUNDERSTOOD,2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,167
SMDCD285,"SLY & ROBBIE","REGGAE STYLEE",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,168
SMDCD286,DILLINGER,"NATTY BSC",2CD,2,0,0,Jewel,8pp,,,,0,,,,169
SMDCD287,FUNKADELIC,"FUNK GETS STRONGER",2CD,2,0,0,Jewel,8pp,,,,0,,SP,,170
SMDCD289,"BOBBY WOMACK","POETRY IN MOTION",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,171
SMDCD291,MAGMA,SPIRITUAL,2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,172
SMDCD293,"BUDDY HOLLY","FOREVER 22",2CD,2,0,0,Jewel,8pp,,,,0,,,,173
SMDCD301X,"DEAN MARTIN","RELAX?..IT`S DEAN MARTIN",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,174
SMDCD307,"DJANGO REINHARDT",DJANGOLOGY,2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,175
SMDCD311,"WOODY GUTHRIE","RAMBLIN` ROUND",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,176
SMDCD313,"EDITH PIAF","SONGS OF A SPARROW",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,177
SMDCD343,"THE PRETTY THINGS","RHYTHM & BLUES YEARS",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,178
SMDCD344,"THE PRETTY THINGS","THE PSYCHEDELIC YEARS",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,179
SMDCD360,"SINATRA/MARTIN/DAVIS JNR","RATPACK FROM VEGAS",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,180
SMDCD366,GONG,"FROM HERE TO ETERNITEA",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,181
SMDCD370,ELP,"THE SHOW THAT NEVER ENDS",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,182
SMDCD373,"THE STRANGLERS","LIES & DECEPTION",2CD,2,0,0,Jewel,8pp,,,,0,,,,183
SMDCD374,THUNDER,"SYMPHONY AND STAGE",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,184
SMDCD375,YES,YESTODAY,2CD,2,0,0,Jewel,8pp,,,,0,,,,185
SMDCD381,"HANK WILLIAMS","LONG GONE DADDY",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,186
SMDCD382,"STEVE HACKETT","GENESIS FILES",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,187
SMDCD386,"URIAH HEEP","BETWEEN TWO WORLDS",2CD,2,0,0,"Super jewel",8pp,,,,0,"Why a SJ",SP,,188
SMDCD388,"BARCLAY JAMES HARVEST","BRAVE NEW WORLD",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,189
SMDCD391,W.A.S.P.,"WASP / THE LAST COMMAND",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,190
SMDCD396,"JIMMIE RODGERS","STANDING ON THE CORNER",2CD,2,0,0,Jewel,8pp,,,,0,,,,191
SMDCD410,PRINCE,"ONE MAN JAM",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,192
SMDCD416,"THE PRETTY THINGS","EMOTIONS & SINGLES A`S & B`S",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,193
SMDCD421,W.A.S.P.,"INSIDE THE ELECTRIC CIRCUS / HEADLESS CHILDREN",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,194
SMDCD438,"DEMIS ROUSSOS","FOREVER DEMIS",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,195
SMDCD439,"THE HERD",UNDERWORLD,2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,196
SMDCD441,"JOHN MARTYN","SOLID AIR (CLASSICS RE-VISITED)",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,197
SMDCD455,"GENTLE GIANT","WAY OF LIFE",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,198
SMDCD456,"THE SOFT MACHINE","KINGS OF CANTERBURY",2CD,2,0,0,Jewel,8pp,,,,0,,OPTIMAL,,199
SMDCD461,"STEVE HACKETT","GUITAR NOIR",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,200
SMDCD475,"DEEP PURPLE & FRIENDS","PURPLE & OTHER COLOURS",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,201
SMDCD476,"YES & FRIENDS","YES & FRIENDS",2CD,2,0,0,Jewel,8pp,,,,0,,,,202
SMDCD478,MAN,"MAN ALIVE",2CD,2,0,0,Jewel,8pp,,,,0,,,,203
SMDCD481,"MAGNA CARTA","AGES AND SEASONS",2CD,2,0,0,Jewel,,,,,0,,VDC,,204
SMDCD483,"WISHBONE ASH",WARRIORS,2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,205
SMDCD484,"FAIRPORT CONVENTION","ACROSS THE DECADES",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,206
SMDCD485,"ALBION BAND","NO SURRENDER",2CD,2,0,0,Jewel,,,,,0,,,,207
SMDCD491,W.A.S.P.,"THE STING / HELLDORADO",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,208
SMDCD500,"ROBIN TROWER","DREAMING THE BLUES",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,209
SMDCD508,"ERIC BURDON","IT`S MY LIFE",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,210
SMDCD512,"JAMES LAST","WITH STRINGS ATTACHED",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,211
SMDCD513,TESTAMENT,"DAYS OF DARKNESS",2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,212
SMDCD514,OVERKILL,UNHOLY,2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,213
SMDCD515,MOUNTAIN,ERUPTION,2CD,2,0,0,Jewel,8pp,,,,0,,VDC,,214
SMDCD517,"ATOMIC ROOSTER","TOMORROW NIGHT",2CD,2,0,0,Jewel,,,,,0,,,,215
